hours,pos,x6144plate_1,x6144col_1,x6144row_1,orf_name,bg,average,fitness
0,111153,1,1,1,"BF_control",283,NaN,NaN
0,130385,1,1,2,"BFC383",496,NaN,NaN
0,110385,1,1,3,"BFC383",330.5,NaN,NaN
0,131153,1,1,4,"BF_control",482,NaN,NaN
0,111154,1,1,5,"BF_control",378,NaN,NaN
0,130386,1,1,6,"BFC384",468,NaN,NaN
0,110386,1,1,7,"BFC384",425.5,NaN,NaN
0,131154,1,1,8,"BF_control",454,NaN,NaN
0,111155,1,1,9,"BF_control",473,NaN,NaN
0,130387,1,1,10,"BFC385",440,NaN,NaN
0,110387,1,1,11,"BFC385",438.5,NaN,NaN
0,131155,1,1,12,"BF_control",426,NaN,NaN
0,111156,1,1,13,"BF_control",404,NaN,NaN
0,130388,1,1,14,"BFC386",394,NaN,NaN
0,110388,1,1,15,"BFC386",391.5,NaN,NaN
0,131156,1,1,16,"BF_control",362,NaN,NaN
0,111157,1,1,17,"BF_control",379,NaN,NaN
0,130389,1,1,18,"BFC387",347.5,NaN,NaN
0,110389,1,1,19,"BFC387",359,NaN,NaN
0,131157,1,1,20,"BF_control",333,NaN,NaN
0,111158,1,1,21,"BF_control",339,NaN,NaN
0,130390,1,1,22,"BFC388",312.5,NaN,NaN
0,110390,1,1,23,"BFC388",349.5,NaN,NaN
0,131158,1,1,24,"BF_control",292,NaN,NaN
0,111159,1,1,25,"BF_control",360,NaN,NaN
0,130391,1,1,26,"BFC389",303.5,NaN,NaN
0,110391,1,1,27,"BFC389",353,NaN,NaN
0,131159,1,1,28,"BF_control",315,NaN,NaN
0,111160,1,1,29,"BF_control",346,NaN,NaN
0,130392,1,1,30,"BFC390",310.5,NaN,NaN
0,110392,1,1,31,"BFC390",341,NaN,NaN
0,131160,1,1,32,"BF_control",306,NaN,NaN
0,111161,1,1,33,"BF_control",336,NaN,NaN
0,130393,1,1,34,"BFC391",302.5,NaN,NaN
0,110393,1,1,35,"BFC391",325.5,NaN,NaN
0,131161,1,1,36,"BF_control",299,NaN,NaN
0,111162,1,1,37,"BF_control",315,NaN,NaN
0,130394,1,1,38,"BFC392",291,NaN,NaN
0,110394,1,1,39,"BFC392",326,NaN,NaN
0,131162,1,1,40,"BF_control",283,NaN,NaN
0,111163,1,1,41,"BF_control",337,NaN,NaN
0,130395,1,1,42,"BFC393",292.5,NaN,NaN
0,110395,1,1,43,"BFC393",344.5,NaN,NaN
0,131163,1,1,44,"BF_control",302,NaN,NaN
0,111164,1,1,45,"BF_control",352,NaN,NaN
0,130396,1,1,46,"BFC394",282.5,NaN,NaN
0,110396,1,1,47,"BFC394",344.5,NaN,NaN
0,131164,1,1,48,"BF_control",263,NaN,NaN
0,111165,1,1,49,"BF_control",337,NaN,NaN
0,130397,1,1,50,"BFC395",287,NaN,NaN
0,110397,1,1,51,"BFC395",354.375,NaN,NaN
