orf_name,hours,N,cs_mean,cs_median,cs_std,p
"BFC1000",0,2,0.0574597943260307,0.0574597943260307,0.000987864299019183,0.00328947368421053
"BFC1001",0,8,0.0947297068696425,0.0904214559386973,0.0198397347860931,0.00328947368421053
"BFC1002",0,7,0.130100185105956,0.128712871287129,0.0107050819193113,0.00328947368421053
"BFC1003",0,8,0.151822834778188,0.157281753516166,0.0398781216148174,0.00328947368421053
"BFC1004",0,8,0.12926517208891,0.118740963302668,0.0455702825515501,0.00328947368421053
"BFC1005",0,7,0.168496360043532,0.178968083039839,0.0281648676101095,0.00328947368421053
"BFC1006",0,8,0.183888728669137,0.17932112859258,0.0166274161961134,0.00328947368421053
"BFC1007",0,7,0.176294481780295,0.176744186046512,0.00811808356231282,0.00328947368421053
"BFC1008",0,8,0.197735826065941,0.190693174934679,0.0234492685671768,0.00328947368421053
"BFC1009",0,8,0.186206523791556,0.181536470080609,0.0273992429631336,0.00328947368421053
"BFC101",0,7,0.120864832979386,0.112359550561798,0.0124519297103385,0.00328947368421053
"BFC1010",0,8,0.177813902185418,0.179399837793998,0.0251306767005138,0.00328947368421053
"BFC1011",0,8,0.184031229652728,0.187047797145974,0.0152365372682694,0.00328947368421053
"BFC1012",0,8,0.197123494915203,0.202626945885841,0.0143056674832325,0.00328947368421053
"BFC1013",0,8,0.228071087083547,0.226008469935075,0.0302889743644769,0.00328947368421053
"BFC1016",0,5,0.0609792409655866,0.0612244897959184,0.00620377942888558,0.00328947368421053
"BFC1017",0,6,0.0803277627678402,0.0807354925775979,0.026341622983415,0.00328947368421053
"BFC1018",0,8,0.110254430838577,0.117943942766805,0.0211563360602833,0.00328947368421053
"BFC1019",0,8,0.130641655016685,0.127582356456109,0.0303245427280398,0.00328947368421053
"BFC102",0,8,0.117839378281483,0.118374429490077,0.0145038756856916,0.00328947368421053
"BFC1020",0,8,0.14518447060636,0.155520015786145,0.0294569873385355,0.00328947368421053
"BFC1021",0,8,0.150861076301789,0.161542301765262,0.0361774735637361,0.00328947368421053
"BFC1022",0,8,0.173778918192282,0.176984364019677,0.0218810587429213,0.00328947368421053
"BFC1023",0,8,0.171529259272408,0.176625205047726,0.014602468031047,0.00328947368421053
"BFC1024",0,7,0.180754555634071,0.183310533515732,0.010987794495632,0.00328947368421053
"BFC1025",0,8,0.182588733431215,0.182383040935673,0.0128212436792197,0.00328947368421053
"BFC1026",0,8,0.162583742597437,0.16332238898588,0.0149449837322802,0.00328947368421053
"BFC1027",0,7,0.16401958046935,0.160118606375093,0.0148135617666847,0.00328947368421053
"BFC1028",0,8,0.182827232211417,0.178921877053604,0.0153767075061184,0.00328947368421053
"BFC1029",0,8,0.214256781265285,0.205359830967731,0.037194232645714,0.00328947368421053
"BFC103",0,8,0.125215496422822,0.1236743993372,0.0106132366140395,0.00328947368421053
"BFC1032",0,2,0.0536210342883502,0.0536210342883502,0.00317475034759579,0.00328947368421053
"BFC1033",0,5,0.0700689264071339,0.065180102915952,0.0347649129085464,0.00328947368421053
"BFC1034",0,7,0.115227249057964,0.116653875671527,0.0133285675644528,0.00328947368421053
"BFC1035",0,8,0.118905481833509,0.123333885301098,0.0210344482715263,0.00328947368421053
"BFC1036",0,8,0.130517456527348,0.128932816561684,0.0293623612077667,0.00328947368421053
"BFC1037",0,7,0.163597844032406,0.168844050044527,0.0140618149738507,0.00328947368421053
"BFC1038",0,8,0.156339030195249,0.161995907560076,0.0226293984671463,0.00328947368421053
"BFC1039",0,8,0.164343308391345,0.164722883373002,0.0178612179112074,0.00328947368421053
"BFC104",0,8,0.127589813462788,0.128752526896261,0.0110953008316521,0.00328947368421053
